tick,alive_count,births,deaths,trades,total_capital,price,regime
0,50,0,0,0,520867.02,102.05,SIDEWAYS
100,27,0,0,8,104924.09,120.48,BEAR
200,14,0,0,10,70475.15,131.95,BULL
300,13,0,0,2,284766.37,135.61,BEAR
400,12,0,0,2,432245.67,148.63,BULL
500,18,0,0,2,651071.58,163.43,BEAR
600,16,0,0,2,738352.98,214.31,BULL
700,16,0,0,5,738352.98,204.92,SIDEWAYS
800,16,0,0,1,738352.98,221.20,SIDEWAYS
900,16,0,0,2,738352.98,125.75,BEAR
1000,28,0,0,5,1993793.44,100.59,SIDEWAYS
1100,28,0,0,0,1993793.44,92.23,BULL
1200,28,0,0,0,1993793.44,104.40,BULL
1300,28,0,0,2,1993793.44,141.35,BULL
1400,28,0,0,0,1993793.44,134.30,BEAR
1500,51,0,0,12,4823027.54,123.29,BULL
1600,51,0,0,6,4823027.54,96.38,BEAR
1700,51,0,0,3,4823027.54,149.25,BULL
1800,52,0,0,0,8906919.77,128.44,SIDEWAYS
1900,59,0,0,0,9679117.67,143.47,SIDEWAYS
2000,97,1,0,9,11845206.35,134.48,SIDEWAYS
2100,97,0,0,0,11845206.35,121.22,RECOVERY
2200,98,0,0,1,17222749.68,98.96,RECOVERY
2300,105,0,0,2,19265042.41,83.79,BULL
2400,125,1,0,11,20706749.71,80.79,BULL
2500,176,0,0,10,21868371.51,72.49,SIDEWAYS
2600,179,0,0,10,25069692.18,57.41,BULL
2700,187,1,0,4,29671399.46,59.06,BULL
2800,200,0,0,8,31232358.52,53.30,RECOVERY
2900,200,0,0,5,34037705.38,73.24,CRISIS
3000,200,0,0,2,33201106.08,55.56,BULL
3100,200,0,0,0,33201106.08,50.43,SIDEWAYS
3200,200,0,0,0,33201106.08,54.08,SIDEWAYS
3300,200,0,0,5,33201106.08,53.55,BULL
3400,200,0,0,0,42426882.46,38.88,SIDEWAYS
3500,200,0,0,1,43703879.99,34.57,SIDEWAYS
3600,200,0,0,1,43703879.99,30.39,BULL
3700,200,0,0,2,46139607.24,28.83,BEAR
3800,200,0,0,2,46139607.24,21.52,BEAR
3900,200,0,0,1,48686306.85,19.72,RECOVERY
4000,200,0,0,0,48686306.85,25.44,RECOVERY
4100,200,0,0,0,49467407.40,23.46,BEAR
4200,200,0,0,1,49467407.40,28.56,BULL
4300,200,0,0,0,49375828.38,24.74,CRISIS
4400,200,0,0,0,49375828.38,26.80,BULL
4500,200,0,0,0,50426909.06,31.19,BULL
4600,200,0,0,0,50426909.06,30.71,BULL
4700,200,0,0,0,50426909.06,26.59,SIDEWAYS
4800,200,0,0,0,51767892.59,33.87,BULL
4900,200,0,0,0,51767892.59,42.92,RECOVERY
5000,200,0,0,0,51767892.59,41.68,BEAR
5100,200,0,0,2,52164576.38,49.11,CRISIS
5200,200,0,0,0,52164576.38,39.47,RECOVERY
5300,200,0,0,0,52164576.38,41.00,BEAR
5400,200,0,0,1,52164576.38,47.31,CRISIS
5500,200,0,0,0,52164576.38,43.94,CRISIS
5600,200,0,0,0,52164576.38,47.46,BULL
5700,200,0,0,0,52164576.38,45.64,BULL
5800,200,0,0,1,52718765.24,105.06,BULL
5900,200,0,0,0,52718765.24,107.91,SIDEWAYS
6000,200,0,0,1,52718765.24,84.71,BULL
6100,200,0,0,0,52718765.24,107.86,BULL
6200,200,0,0,1,52718765.24,105.93,RECOVERY
6300,200,0,0,1,52718765.24,74.73,SIDEWAYS
6400,200,0,0,0,52718765.24,105.69,BULL
6500,200,0,0,0,52718765.24,128.62,SIDEWAYS
6600,200,0,0,1,52718765.24,118.08,CRISIS
6700,200,0,0,0,52718765.24,115.62,BEAR
6800,200,0,0,0,52718765.24,97.91,HIGH_VOLATILITY
6900,200,0,0,0,52718765.24,112.07,BEAR
7000,200,0,0,0,52718765.24,164.17,BULL
7100,200,0,0,0,52718765.24,172.91,SIDEWAYS
7200,200,0,0,0,52718765.24,163.62,BULL
7300,200,0,0,0,52718765.24,189.00,CRISIS
7400,200,0,0,0,52718765.24,194.68,BULL
7500,200,0,0,0,52718765.24,115.75,SIDEWAYS
7600,200,0,0,0,52718765.24,102.15,BULL
7700,200,0,0,0,52718765.24,116.94,BULL
7800,200,0,0,0,52326802.17,138.48,BULL
7900,200,0,0,0,52326802.17,197.61,BULL
8000,200,0,0,2,52326802.17,270.87,SIDEWAYS
8100,200,0,0,1,52326802.17,125.47,BULL
8200,200,0,0,0,52326802.17,119.92,RECOVERY
8300,200,0,0,1,52326802.17,109.82,SIDEWAYS
8400,200,0,0,0,52326802.17,58.70,BEAR
8500,200,0,0,0,52326802.17,71.59,BULL
8600,200,0,0,0,52326802.17,47.68,RECOVERY
8700,200,0,0,1,52326802.17,43.77,SIDEWAYS
8800,200,0,0,0,52326802.17,35.42,BULL
8900,200,0,0,0,52326802.17,44.52,BULL
9000,200,0,0,0,52326802.17,30.52,BULL
9100,200,0,0,0,52326802.17,35.95,BEAR
9200,200,0,0,0,52326802.17,35.07,BULL
9300,200,0,0,0,52326802.17,25.65,CRISIS
9400,200,0,0,0,52326802.17,25.58,BULL
9500,200,0,0,1,52326802.17,26.29,BEAR
9600,200,0,0,1,52326802.17,34.82,BULL
9700,200,0,0,0,52326802.17,34.63,BEAR
9800,200,0,0,0,52326802.17,35.65,BEAR
9900,200,0,0,0,52326802.17,31.19,BULL
9999,200,0,0,1,52326802.17,28.34,BEAR
